category_code,URL,category_id,subcategory_id
TPW1073767,https://www.trade-point.co.uk/departments/building-supplies/roofing-supplies/roofing-felt-adhesive/TPW1073767.cat,15,66
TPW638609,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/routers/TPW638609.cat,15,67
TPW768185,https://www.trade-point.co.uk/departments/home-furniture-storage/home-furnishings/home-accessories/clocks/TPW768185.cat,17,77
TPW822398,https://www.trade-point.co.uk/departments/bathroom/bathroom-accessories/toilet-brushes/TPW822398.cat,5,24
TPW623226,https://www.trade-point.co.uk/departments/tools-equipment/hand-tools/measures-levels/TPW623226.cat,15,67
TPW579463,https://www.trade-point.co.uk/departments/lighting/indoor-lights/wall-lights/TPW579463.cat,2,10
TPW780365,https://www.trade-point.co.uk/departments/outdoor-garden/plants-seeds-bulbs/TPW780365.cat,13,52
TPW1726732,https://www.trade-point.co.uk/departments/home-furniture-storage/home-furnishings/home-accessories/TPW1726732.cat,17,77
TPW1625677,https://www.trade-point.co.uk/departments/painting-decorating/decorating-tools-supplies/tapes/TPW1625677.cat,13,56
TPW638616,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/screwdrivers/TPW638616.cat,17,77
TPW579501,https://www.trade-point.co.uk/departments/lighting/outdoor-lights/wall-lights/TPW579501.cat,2,10
TPW581240,https://www.trade-point.co.uk/departments/outdoor-garden/greenhouses-growhouses/TPW581240.cat,9,39
TPW570202,https://www.trade-point.co.uk/departments/building-supplies/roofing-supplies/roofing-sheets/TPW570202.cat,15,66
TPW570170,https://www.trade-point.co.uk/departments/building-supplies/plastering-supplies/ceiling-roses/TPW570170.cat,15,68
TPW1233724,https://www.trade-point.co.uk/departments/flooring-tiling/flooring-underlay/carpet/TPW1233724.cat,14,4
TPW1374375,https://www.trade-point.co.uk/departments/bathroom/bathroom-taps/bath-taps/bath-shower-mixer-taps/TPW1374375.cat,25,5
TPW1726700,https://www.trade-point.co.uk/departments/home-furniture-storage/home-furnishings/cushions/TPW1726700.cat,76,17
