page_url,category,subcategory,category_path
https://www.screwfix.com//c/tools/power-tools/cat830692,Tools,Power tools,/c/tools/power-tools/cat830692
https://www.screwfix.com//c/tools/drills/cat830704,Tools,Drills,/c/tools/drills/cat830704
https://www.screwfix.com//c/tools/saws/cat830716,Tools,Saws,/c/tools/saws/cat830716
https://www.screwfix.com//c/tools/kits-twinpacks/cat830712,Tools,Kits twinpacks,/c/tools/kits-twinpacks/cat830712
https://www.screwfix.com//c/tools/impact-drivers-wrenches/cat830838,Tools,Impact drivers wrenches,/c/tools/impact-drivers-wrenches/cat830838
https://www.screwfix.com//c/tools/power-tool-batteries-chargers/cat830696,Tools,Power tool batteries chargers,/c/tools/power-tool-batteries-chargers/cat830696
https://www.screwfix.com//c/tools/bare-units/cat7230005,Tools,Bare units,/c/tools/bare-units/cat7230005
https://www.screwfix.com//c/tools/angle-grinders/cat830694,Tools,Angle grinders,/c/tools/angle-grinders/cat830694
https://www.screwfix.com//c/tools/multi-tools/cat830708,Tools,Multi tools,/c/tools/multi-tools/cat830708
https://www.screwfix.com//c/tools/planers/cat830902,Tools,Planers,/c/tools/planers/cat830902
https://www.screwfix.com//c/tools/electric-screwdrivers/cat830720,Tools,Electric screwdrivers,/c/tools/electric-screwdrivers/cat830720
https://www.screwfix.com//c/tools/sanders/cat830906,Tools,Sanders,/c/tools/sanders/cat830906
https://www.screwfix.com//c/tools/polishers/cat12980002,Tools,Polishers,/c/tools/polishers/cat12980002
https://www.screwfix.com//c/tools/nail-guns/cat830710,Tools,Nail guns,/c/tools/nail-guns/cat830710
https://www.screwfix.com//c/tools/power-tool-accessories/cat830036,Tools,Power tool accessories,/c/tools/power-tool-accessories/cat830036
https://www.screwfix.com//c/tools/drilling/cat5920002,Tools,Drilling,/c/tools/drilling/cat5920002
https://www.screwfix.com//c/tools/screwdriver-bits/cat5970004,Tools,Screwdriver bits,/c/tools/screwdriver-bits/cat5970004
https://www.screwfix.com//c/tools/cutting-blades/cat5970020,Tools,Cutting blades,/c/tools/cutting-blades/cat5970020
https://www.screwfix.com//c/tools/multi-tool-accessories/cat6160058,Tools,Multi tool accessories,/c/tools/multi-tool-accessories/cat6160058
