page_url,category,subcategory,category_code
https://www.trade-point.co.uk/departments/goodhome-barbecue-grate-41-2cm-l-x-41-2cm-w-/3663602358534_TP.prd,Outdoor & garden,Bbq's & bbq accessories,TPW581035
https://www.trade-point.co.uk/departments/leisure-cs100f520x-freestanding-electric-range-cooker-with-gas-hob-stainless-steel-effect/405510_TP.prd,Kitchen,Kitchen appliances,TPW824242
https://www.trade-point.co.uk/departments/flooring-grey-plain-door-mat-150cm-x-57cm/5014206505400_TP.prd,"Home, furniture & storage",Home furnishings,TPW581012
https://www.trade-point.co.uk/departments/silver-nickel-effect-metal-clip-pole-connector-l-110mm-dia-28mm/3663602453444_TP.prd,"Home, furniture & storage",Home furnishings,TPW2023165
https://www.trade-point.co.uk/departments/wax-lyrical-red-cherries-tea-lights-small-pack-of-9/5015802220865_TP.prd,"Home, furniture & storage",Home furnishings,TPW2023238
https://www.trade-point.co.uk/departments/goodhome-marloes-gloss-white-chipboard-bathroom-worktop-t-2-8cm-x-l-120cm-x-w-45-2cm/3663602414872_TP.prd,Bathroom,Bathroom worktops,TPW822362
https://www.trade-point.co.uk/departments/floplast-brown-square-union-bracket-dia-114mm-1/81037_TP.prd,Building supplies,Guttering,TPW0002956
https://www.trade-point.co.uk/departments/magnusson-3-piece-wood-chisel-set-sf27/1782668_TP.prd,Tools & equipment,Hand tools,TPW623119
https://www.trade-point.co.uk/departments/lap-2-gang-32mm-pattress-box/1284719_TP.prd,Electrical & security,Switches & sockets,TPW1374872
https://www.trade-point.co.uk/departments/terma-1200w-grey-wire-heating-element/5901804706332_TP.prd,"Heating, plumbing & cooling",Central heating,TPW0002070
https://www.trade-point.co.uk/departments/bartoline-improved-clean-spirit-2l/5010789955137_TP.prd,Painting & decorating,Decorating tools & supplies,TPW2023285
https://www.trade-point.co.uk/departments/klikstrom-lemhi-contemporary-closeboard-venetian-autoclave-pressure-treated-wooden-fence-panel-w-1-8m-h-1-8m/5059340046303_TP.prd,Outdoor & garden,Fencing,TPW585890
https://www.trade-point.co.uk/departments/karcher-k7-premium-power-corded-pressure-washer-2-8kw-13171740/4066529081858_TP.prd,Outdoor & garden,Garden power tools,TPW780421
https://www.trade-point.co.uk/departments/solvite-ready-mixed-wall-covering-adhesive-4-5kg-5-rolls/5010305142768_TP.prd,Painting & decorating,Decorating tools & supplies,TPW2023287
https://www.trade-point.co.uk/departments/mira-decor-silver-effect-manual-electric-shower-8-5kw/5013181104691_TP.prd,Bathroom,Showers,TPW822108
https://www.trade-point.co.uk/departments/blooma-black-steel-brenton-door-bolt-l-152mm-w-45mm/5059340456553_TP.prd,Hardware,Locks & padlocks,TPW0002435
https://www.trade-point.co.uk/departments/splashwall-gloss-white-tile-effect-2-sided-shower-panel-kit-l-2420mm-w-1200mm-t-3mm/5060699091357_TP.prd,Bathroom,Wet rooms,TPW1411676
https://www.trade-point.co.uk/departments/goodhome-decor-10-scotia-trim-220cm/3663602531142_TP.prd,Flooring & tiling,Flooring supplies,TPW765472
https://www.trade-point.co.uk/departments/goodhome-cavally-medium-gloss-chrome-effect-round-deck-mounted-manual-basin-mono-mixer-tap/5059340185552_TP.prd,Bathroom,Bathroom taps,TPW1374382
https://www.trade-point.co.uk/departments/goodhome-jarrow-black-mains-powered-1-lamp-outdoor-post-lantern-h-2274mm/5059340189765_TP.prd,Lighting,Outdoor lights,TPW579495
https://www.trade-point.co.uk/departments/expamet-galvanised-steel-joist-hanger-w-50mm-pack-of-10/35540_TP.prd,Hardware,Builder's metalwork,TPW765624
https://www.trade-point.co.uk/departments/aviles-chrome-effect-2-lamp-bathroom-ceiling-light/5059340230917_TP.prd,Lighting,Indoor lights,TPW579439
https://www.trade-point.co.uk/departments/jg-speedfit-plastic-push-fit-stop-end-dia-15mm-pack-of-10/34364_TP.prd,"Heating, plumbing & cooling",Plumbing,TPW1655188
https://www.trade-point.co.uk/departments/olympia-white-patio-cover-h-3050mm-w-2950mm-d-7300mm/7290108134322_TP.prd,Outdoor & garden,"Arches, arbours & pergolas",TPW585798
https://www.trade-point.co.uk/departments/peckish-sunflower-heart-bird-feeder/5030872000599_TP.prd,Animal & pet care,Bird & wildlife supplies,TPW0003258
https://www.trade-point.co.uk/departments/goodhome-owsley-4-1-black-4-burner-gas-bbq/5059340137896_TP.prd,Outdoor & garden,Bbq's & bbq accessories,TPW581032
https://www.trade-point.co.uk/departments/cooke-lewis-conway-white-steel-rectangular-straight-bath-l-1700mm-w-700mm/194437_TP.prd,Bathroom,Baths,TPW2023150
