media,page_url,features,rating,rating_count,price
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000125311_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000125311_01.jpg']",https://www.wickes.co.uk/Wickes-Pro-Timber-Deck-Board---27-x-144-x-2400mm/p/294349,"['Thick 27mm profile makes for a much stronger product than many economy deckboards and suitable for higher traffic areas', 'Produced from trees at least 80 years old and carefully kiln dried to help reduce the risk of splitting or twisting', 'Pressure treated to use class 3 for longer life', ""It's important that you maintain care of your decking and follow the manufacturer's recommendations to ensure it has a long life"", 'We strongly recommend that you treat your decking and other deck components immediately and prior to installation with a deck seal or other similar product', 'Always keep clean and recoat all sides with a deck seal, deck oil or deck stain to help prevent splitting, warping and rot', 'Produced from slow grown premium European pine that produces tight, compact growth rings giving you a stable deck board', 'Timber expands and contracts in different weather conditions, some dimensional variation should be expected. 10 years anti-rot guarantee', 'Approximate measurements: 144mm (14.4cm / 6in) x 2400mm (240cm / 95in) x 28mm (2.8cm / 1.1in) (W x L x T)', 'PEFC certified so you know that our timber is sourced in an environmentally responsible manner']",4.2,35,9.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089002_01.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089002_02.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089002_03.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089002_04.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089002_05.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089002_06.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089002_07.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089002_08.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089002_09.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089002_10.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089002_11.jpg']",https://www.wickes.co.uk/Cuprinol-5-Year-Ducksback-Matt-Shed+Fence-Treatment---Silver-Copse---5L/p/156460,"['Suitable for use on sheds and fences', 'Non drip easy application', 'Long lasting weather protection', 'Showerproof in 1 hour', 'Wax enriched water repellant', 'Low odour and safe to use around plants and pets', 'Decorative anti-slip finish', 'Water based', '5 years protection']",4.9,1084,10.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000125312_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000125312_01.jpg']",https://www.wickes.co.uk/Wickes-Pro-Timber-Deck-Board---27-x-144-x-3600mm/p/294374,"['Thick 27mm profile makes for a much stronger product than many economy deckboards and suitable for higher traffic areas', 'Produced from trees at least 80 years old and carefully kiln dried to help reduce the risk of splitting or twisting', 'Pressure treated to use class 3 for longer life', ""It's important that you maintain care of your decking and follow the manufacturer's recommendations to ensure it has a long life"", 'We strongly recommend that you treat your decking and other deck components immediately and prior to installation with a deck seal or other similar product', 'Always keep clean and recoat all sides with a deck seal, deck oil or deck stain to help prevent splitting, warping and rot', 'Produced from slow grown premium European pine that produces tight, compact growth rings giving you a stable deck board', 'Timber expands and contracts in different weather conditions, some dimensional variation should be expected. 10 years anti-rot guarantee', 'Approximate measurements: 144mm (14.4cm / 6in) x 3600mm (360cm / 142in) x 28mm (2.8 cm / 1.1in) (W x L x T)', 'PEFC certified so you know that our timber is sourced in an environmentally responsible manner']",4.4,54,12.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000125311_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000125311_01.jpg']",https://www.wickes.co.uk/Wickes-Pro-Timber-Deck-Board---27-x-144-x-2400mm/p/294349,"['Thick 27mm profile makes for a much stronger product than many economy deckboards and suitable for higher traffic areas', 'Produced from trees at least 80 years old and carefully kiln dried to help reduce the risk of splitting or twisting', 'Pressure treated to use class 3 for longer life', ""It's important that you maintain care of your decking and follow the manufacturer's recommendations to ensure it has a long life"", 'We strongly recommend that you treat your decking and other deck components immediately and prior to installation with a deck seal or other similar product', 'Always keep clean and recoat all sides with a deck seal, deck oil or deck stain to help prevent splitting, warping and rot', 'Produced from slow grown premium European pine that produces tight, compact growth rings giving you a stable deck board', 'Timber expands and contracts in different weather conditions, some dimensional variation should be expected. 10 years anti-rot guarantee', 'Approximate measurements: 144mm (14.4cm / 6in) x 2400mm (240cm / 95in) x 28mm (2.8cm / 1.1in) (W x L x T)', 'PEFC certified so you know that our timber is sourced in an environmentally responsible manner']",4.2,35,9.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089002_01.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089002_02.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089002_03.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089002_04.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089002_05.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089002_06.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089002_07.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089002_08.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089002_09.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089002_10.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089002_11.jpg']",https://www.wickes.co.uk/Cuprinol-5-Year-Ducksback-Matt-Shed+Fence-Treatment---Silver-Copse---5L/p/156460,"['Suitable for use on sheds and fences', 'Non drip easy application', 'Long lasting weather protection', 'Showerproof in 1 hour', 'Wax enriched water repellant', 'Low odour and safe to use around plants and pets', 'Decorative anti-slip finish', 'Water based', '5 years protection']",4.9,1084,10.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000125312_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000125312_01.jpg']",https://www.wickes.co.uk/Wickes-Pro-Timber-Deck-Board---27-x-144-x-3600mm/p/294374,"['Thick 27mm profile makes for a much stronger product than many economy deckboards and suitable for higher traffic areas', 'Produced from trees at least 80 years old and carefully kiln dried to help reduce the risk of splitting or twisting', 'Pressure treated to use class 3 for longer life', ""It's important that you maintain care of your decking and follow the manufacturer's recommendations to ensure it has a long life"", 'We strongly recommend that you treat your decking and other deck components immediately and prior to installation with a deck seal or other similar product', 'Always keep clean and recoat all sides with a deck seal, deck oil or deck stain to help prevent splitting, warping and rot', 'Produced from slow grown premium European pine that produces tight, compact growth rings giving you a stable deck board', 'Timber expands and contracts in different weather conditions, some dimensional variation should be expected. 10 years anti-rot guarantee', 'Approximate measurements: 144mm (14.4cm / 6in) x 3600mm (360cm / 142in) x 28mm (2.8 cm / 1.1in) (W x L x T)', 'PEFC certified so you know that our timber is sourced in an environmentally responsible manner']",4.4,54,12.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/M3549_144730_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/M3549_144730_01.jpg']",https://www.wickes.co.uk/Marshalls-Richmond-Smooth-Buff-Paving-Slab---450-x-450-x-32mm/p/144730,"['Smooth, no-nonsense paving slab for utility areas', 'Practical for flat hard-standing utility areas', 'Available in two colours with a smooth finish at great value', 'Colour may vary in wet conditions', 'Not suitable for patios']",4.7,829,4.5
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000086510_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000086510_01.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000086510_02.jpg']",https://www.wickes.co.uk/Dulux-Weathershield-All-Weather-Purpose-Smooth-Paint---Pure-Brilliant-White---5L/p/278452,"['Suitable for exterior walls', 'Mould and algae protected paint film', 'Easy application', 'Rainproof', 'Water based', 'UV protection', '15 long years of lasting protection', 'Remove paint from the brush or roller with a cloth and then wash it with water']",0.0,0,22.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/M3549_144650_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/M3549_144650_01.jpg']",https://www.wickes.co.uk/Marshalls-Richmond-Smooth-Natural-Paving-Slab---450-x-450-x-32mm/p/144650,"['Smooth, no-nonsense paving slab for utility areas', 'Practical for flat hard-standing utility areas', 'Available in two colours with a smooth finish at great value', 'Colour may vary in wet conditions', 'Not suitable for patios']",4.7,1349,4.5
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/I0757_164174_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/I0757_164174_01.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/I0757_164174_02.jpg']",https://www.wickes.co.uk/IKO-Green-Shed-Felt---10-x-1m/p/164174,"['Economical, bituminous roofing felt\xa0with a protective and decorative green mineral finish', 'Suitable for waterproofing and protecting a variety of common garden buildings', 'Lasts up to 5 years', 'Full fixing instructions included on the packaging', 'Quick and easy to install using nails or felt adhesive', 'Any roof with a low pitch between 10-20°, IKO trade underlay is required beneath the primary waterproofing finish', 'Paper packaging can be recycled in your house hold  paper bin', 'IKO Plc UK meet ISO14001 (enviromental managed systems) and BES6001 (responsible sourcing) certification']",4.6,1100,21.0
